Phase,Epic ID,Epic,Story ID,Story,Task ID,Task Type,Task Title,Endpoint/Table,Audit Mapping,Priority,Dependencies,Acceptance Criteria
0,P0-E1,Delivery Framework,P0-E1-S1,Define parity baseline and done criteria,P0-E1-S1-T1,Schema,Create feature parity tracking table,feature_parity_status,Program governance gap,High,None,Table exists with required columns and constraints
0,P0-E1,Delivery Framework,P0-E1-S1,Define parity baseline and done criteria,P0-E1-S1-T2,API,Expose parity status endpoint,GET /api/v1/parity/status,Program governance gap,High,P0-E1-S1-T1,Endpoint returns feature bucket statuses from source of truth
0,P0-E1,Delivery Framework,P0-E1-S2,Cross-service contract governance,P0-E1-S2-T1,Docs,Version WS event schema specs,MESSAGE_* VOICE_* ACTIVITY_* MOD_*,Contract governance gap,High,None,Versioned schema docs committed and reviewable
0,P0-E1,Delivery Framework,P0-E1-S2,Cross-service contract governance,P0-E1-S2-T2,Schema,Track schema rollout versions,schema_versions,Contract governance gap,High,None,Schema version records are queryable by service and event family
1,P1-E1,Embedded Activities Runtime,P1-E1-S1,Server-authoritative activity lifecycle,P1-E1-S1-T1,API,Launch activity session,POST /api/v1/activities/launch,Activities runtime parity gap,Critical,None,Session launch creates authoritative session record
1,P1-E1,Embedded Activities Runtime,P1-E1-S1,Server-authoritative activity lifecycle,P1-E1-S1-T2,API,Join activity session,POST /api/v1/activities/{sessionId}/join,Activities runtime parity gap,Critical,P1-E1-S1-T1,Join validates membership and updates participants
1,P1-E1,Embedded Activities Runtime,P1-E1-S1,Server-authoritative activity lifecycle,P1-E1-S1-T3,API,Leave activity session,POST /api/v1/activities/{sessionId}/leave,Activities runtime parity gap,Critical,P1-E1-S1-T2,Leave updates participant state and emits event
1,P1-E1,Embedded Activities Runtime,P1-E1-S1,Server-authoritative activity lifecycle,P1-E1-S1-T4,API,End activity session,POST /api/v1/activities/{sessionId}/end,Activities runtime parity gap,Critical,P1-E1-S1-T1,Only host/admin can end session with reason
1,P1-E1,Embedded Activities Runtime,P1-E1-S1,Server-authoritative activity lifecycle,P1-E1-S1-T5,API,Fetch activity session state,GET /api/v1/activities/{sessionId},Activities runtime parity gap,High,P1-E1-S1-T1,Endpoint returns canonical session + participants
1,P1-E1,Embedded Activities Runtime,P1-E1-S1,Server-authoritative activity lifecycle,P1-E1-S1-T6,Schema,Harden activity_sessions table,activity_sessions,Activities runtime parity gap,Critical,None,Host transfer ended_reason last_heartbeat_at supported
1,P1-E1,Embedded Activities Runtime,P1-E1-S1,Server-authoritative activity lifecycle,P1-E1-S1-T7,Schema,Extend activity participants metadata,activity_participants,Activities runtime parity gap,Critical,None,Role and left_at are persisted and indexed
1,P1-E1,Embedded Activities Runtime,P1-E1-S2,Versioned Embedded App SDK bridge,P1-E1-S2-T1,WS,Activity session update event,ACTIVITY_SESSION_UPDATE,Embedded app bridge gap,High,P1-E1-S1-T1,Event emitted on lifecycle changes with versioned payload
1,P1-E1,Embedded Activities Runtime,P1-E1-S2,Versioned Embedded App SDK bridge,P1-E1-S2-T2,WS,Activity participant update event,ACTIVITY_PARTICIPANT_UPDATE,Embedded app bridge gap,High,P1-E1-S1-T2,Event emitted on join leave role updates
1,P1-E1,Embedded Activities Runtime,P1-E1-S2,Versioned Embedded App SDK bridge,P1-E1-S2-T3,WS,Activity state patch event,ACTIVITY_STATE_PATCH,Embedded app bridge gap,High,P1-E1-S1-T5,Event conveys minimal ordered state patches
1,P1-E1,Embedded Activities Runtime,P1-E1-S2,Versioned Embedded App SDK bridge,P1-E1-S2-T4,Schema,Persist activity state snapshots,activity_state_snapshots,Embedded app bridge gap,High,None,Snapshots are versioned by session and retrievable
1,P1-E2,Synchronized Media and Join Flows,P1-E2-S1,Synchronized media control,P1-E2-S1-T1,API,Sync media play,POST /api/v1/activities/{sessionId}/sync/play,Activity sync parity gap,High,P1-E1-S1-T1,Play command updates authoritative sync state
1,P1-E2,Synchronized Media and Join Flows,P1-E2-S1,Synchronized media control,P1-E2-S1-T2,API,Sync media pause,POST /api/v1/activities/{sessionId}/sync/pause,Activity sync parity gap,High,P1-E2-S1-T1,Pause command updates authoritative sync state
1,P1-E2,Synchronized Media and Join Flows,P1-E2-S1,Synchronized media control,P1-E2-S1-T3,API,Sync media seek,POST /api/v1/activities/{sessionId}/sync/seek,Activity sync parity gap,High,P1-E2-S1-T1,Seek command validates range and persists playhead
1,P1-E2,Synchronized Media and Join Flows,P1-E2-S1,Synchronized media control,P1-E2-S1-T4,Schema,Persist activity sync state,activity_sync_state,Activity sync parity gap,High,None,Leader playhead and play state are persisted
1,P1-E2,Synchronized Media and Join Flows,P1-E2-S2,Join activity entry points,P1-E2-S2-T1,API,Get user's active activity,GET /api/v1/users/{id}/active-activity,Join flow parity gap,Medium,P1-E1-S1-T1,Returns active session metadata for a user
1,P1-E2,Synchronized Media and Join Flows,P1-E2-S2,Join activity entry points,P1-E2-S2-T2,API,Get channel's active activity,GET /api/v1/channels/{id}/active-activity,Join flow parity gap,Medium,P1-E1-S1-T1,Returns active session metadata for a channel
